Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
D. Mateos,2018,9220215,La Vanidosa No. 1 Garnacha Tinta 2018,4.1,85,15.0,Rioja
Raúl Pérez,2019,1216033,Ultreia Mencía 2019,4.1,31,15.0,Bierzo
Forlong,2018,2006804,Assemblage 2018,3.8,72,15.0,Cádiz
LaOsa,2015,5610890,Trasto Prieto Picudo 2015,3.7,27,15.0,Castilla y León
Herència Altés,2018,1224551,L'Estel 2018,3.8,41,15.0,Terra Alta
Josep Grau Viticultor,2020,3746666,Vespres 2020,4.0,67,15.0,Montsant
Pagos de Valcerracín,2018,1274310,Crianza Vendimia Seleccionada 2018,4.2,34,15.0,Ribera del Duero
Viña al Lado de la Casa,2011,1185932,Viña al Lado de la Casa 2011,3.8,148,15.05,Yecla
Gómez Cruzado,2014,1876163,Reserva 2014,3.9,434,15.07,Rioja
Castillo Perelada,2016,1718611,Finca La Garriga 2016,4.1,232,15.07,Empordà
Bodegas Frontonio,2017,4829875,Telescópico Garnacha 2017,3.8,266,15.12,Valdejalón
Bodegas Monje,2020,2435675,Hollera 2020,3.6,55,15.15,Tacoronte-Acentejo
Forjas del Salnés,2018,1569627,Goliardo Tinto (Bastión de la Luna) 2018,3.7,68,15.17,Rías Baixas
Fernández de Piérola,2009,1240890,Reserva 2009,3.9,25,15.2,Rioja
Fariña,2017,7196016,Crianza 2017,3.7,43,15.2,Toro
Pago Calzadilla,2013,2249996,Allegro 2013,4.1,141,15.25,Pago Calzadilla
Vetus,2018,77817,Toro 2018,4.1,69,15.25,Toro
Vinos en Voz Baja,2019,2417995,Costumbres Tinto 2019,3.9,103,15.25,Rioja
Celler Masroig,2018,1631438,Les Sorts Vinyes Velles 2018,4.1,120,15.25,Montsant
Bodega Tesalia,2018,6153558,ARX Arcos de la Frontera 2018,4.3,536,15.26,Andalucía
Joan Simó,2018,2570956,Les Sentius 2018,4.1,59,15.29,Priorato
Bodegas Tionio,2017,76651,Austum 2017,3.5,189,15.3,Ribera del Duero
Celler Aixalà Alcait,2017,1284320,Pardelasses 2017,4.0,67,15.3,Priorato
Sanmarti,2017,4946376,1018 Garnatxa - Sumoll 2017,4.0,29,15.3,Pla de Bages
Espelt,2016,96034,Terres Negres 2016,3.8,156,15.35,Empordà
Valtravieso,2019,1178074,Ribera del Duero Crianza 2019,4.0,136,15.35,Ribera del Duero
El Regajal,2019,1214059,Selección Especial 2019,3.8,169,15.4,Madrid
Eulogio Pomares,2019,9225130,O Estranxeiro Tinto 2019,3.9,74,15.4,Ribeira Sacra
Gémina,2016,1475219,Cuvée Selección 2016,4.0,50,15.4,Jumilla
Requiem Hispania,2016,8160067,Descalificado 2016,3.7,150,15.4,Ribera del Duero
Pago de Vallegarcía,2019,1539907,Petit Hipperia 2019,4.0,294,15.4,Castilla
Terroir Al Límit Soc. Lda,2019,4429593,Historic Tinto 2019,3.8,63,15.43,Priorato
Bodegueros Quinta Esencia,2015,1206120,Sofros 2015,4.1,26,15.45,Toro
Fedellos do Couto,2018,6596608,Peixe da Estrada Tinto 2018,3.9,27,15.45,Galicia
Murua,2014,86344,Reserva Rioja 2014,4.2,437,15.45,Rioja
César Márquez,2019,6276994,Parajes 2019,3.9,305,15.45,Bierzo
Sierra Cantabria,2015,77873,Reserva 2015,3.9,36,15.45,Rioja
Mas Oller,2017,1681959,Plus 2017,3.8,30,15.45,Cataluña
Collbaix Celler El Molí,2016,2670579,Rector de Ventallola Red Blend 2016,4.0,88,15.45,Pla de Bages
Barahonda,2019,1679600,Summum Monastrell 2019,4.3,185,15.45,Yecla
Terra Remota,2018,1222476,Camino 2018,4.0,234,15.48,Empordà
Bodegas Mas Alta,2019,83825,Els Pics 2019,4.1,326,15.48,Priorato
Las Moradas de San Martín,2014,3671464,La Sabina 2014,3.8,115,15.5,Madrid
Viña Olabarri,2015,1410742,Gran Reserva 2015,4.1,53,15.5,Rioja
Viña Olabarri,2014,1410742,Gran Reserva 2014,4.1,100,15.5,Rioja
Lopez Cristobal,2018,2128843,Tinto Crianza 2018,3.9,156,15.5,Ribera del Duero
Volver,2018,8803139,Alicante Bouschet by Tarima 2018,4.2,113,15.5,Alicante
Atlan & Artisan,2019,3123416,8 Vents Mallorca 2019,4.2,158,15.5,Mallorca
Barahonda,2017,1949195,Heredad Candela Petit Verdot 2017,4.2,36,15.5,Yecla
De Muller,2013,1583110,Porpores Reserva 2013,3.9,46,15.5,Tarragona
Muriel,2011,1247761,Rioja Gran Reserva 2011,3.9,146,15.5,Rioja
Coca i Fitó,2020,7557971,Nu 2020,4.1,49,15.5,Montsant
Torre de Oña,2016,1211193,Rioja Reserva 2016,3.9,293,15.5,Rioja
Peñafiel,2018,1698222,Miros de Ribera Crianza 2018,4.0,261,15.5,Ribera del Duero
Coca i Fitó,2017,4295688,Samsara Priorat 2017,4.1,264,15.5,Priorato
Castro Ventosa,2019,1175429,El Castro de Valtuille 2019,3.7,92,15.5,Bierzo
Casa Castillo,2020,3154893,El Molar 2020,4.0,86,15.5,Jumilla
Alto de Inazares,2019,7018166,Mulato 2019,3.6,133,15.5,Murcia
Parajes de los Vidrios,2017,6379003,Garnacha 2017,3.6,148,15.5,Madrid
Viña Ijalba,2015,98255,Reserva 2015,3.9,269,15.5,Rioja
Cruz de Alba,2019,1174990,Ribera del Duero (Crianza) 2019,4.1,73,15.5,Ribera del Duero
Celler Ronadelles - Cap de Ruc,2017,7772636,Les Joveres de Margalef 2017,4.0,66,15.5,Cataluña
Rodríguez de Vera,2018,1621230,Tinto 2018,3.9,45,15.5,Almansa
Raventós i Blanc,2011,1495855,Isabel Negra Cabernet Sauvignon - Monastrell 2011,3.8,108,15.5,Penedès
Coca i Fitó,2016,2826296,Tolo do Xisto 2016,3.6,203,15.5,Ribeira Sacra
Sedella,2017,2481319,Laderas de Sedella Red Blend 2017,3.6,29,15.5,Sierras de Málaga
Finca de los Arandinos,2016,5751353,El Tejar 2016,4.0,26,15.5,Rioja
Familia Torres,2020,9684499,Clos Ancestral 2020,3.8,102,15.5,Penedès
Mustiguillo,2019,3788625,La Garnacha de Mustiguillo 2019,3.7,191,15.53,El Terrerazo
Finca La Estacada,2017,1505563,Secua Cabernet - Syrah 2017,4.0,89,15.55,Castilla
Marqués de Riscal,2017,1163903,Rioja Reserva 2017,4.1,6800,15.55,Rioja
Castillo Perelada,2015,1278100,Empordà Reserva Especial Don Miguel Mateu 2015,4.3,51,15.56,Empordà
Tianna Negre,2019,1877847,Tianna Bocchoris Negre 2019,4.0,151,15.57,Binissalem-Mallorca
Familia Torres,2014,3129085,Gran Coronas Reserva Cabernet Sauvignon 2014,3.8,4946,15.6,Penedès
Marqués de Riscal,2018,1163903,Rioja Reserva 2018,4.1,1035,15.6,Rioja
Vinos del Panorámico,2017,6760485,Tinto 2017,4.1,64,15.6,Rioja
Legaris,2019,80084,Ribera del Duero Crianza 2019,3.9,301,15.62,Ribera del Duero
Jorge Piernas,2017,4458663,Sinesquema 2017,3.8,73,15.71,Bullas
Hacienda López de Haro,2011,2870792,Gran Reserva 2011,4.0,1034,15.75,Rioja
Aleph Winery,2016,6799163,Cuvée Galois 2016,3.7,70,15.75,Castilla
Vinos en Voz Baja,2020,2417995,Costumbres Tinto 2020,4.0,31,15.75,Rioja
Estefanía,2016,1140758,Tilenus Pagos de Posada Bierzo Mencia 2016,3.8,48,15.75,Bierzo
Castaño,2016,3297938,Santa 2016,4.1,115,15.75,Yecla
Hacienda López de Haro,2012,2870792,Gran Reserva 2012,3.9,240,15.75,Rioja
Miquel Oliver,2015,1168419,Ses Ferritges 2015,3.8,29,15.75,Plà i Llevant
Bohórquez,2015,1467386,Cardela 2015,4.0,105,15.75,Ribera del Duero
Bodega de Bardos,2018,6773233,Reserva 2018,4.1,129,15.75,Ribera del Duero
Lynus,2018,1207871,Origen Tinto 2018,4.1,39,15.79,Ribera del Duero
Luis Cañas,2015,86877,Rioja Reserva 2015,4.0,1631,15.8,Rioja
Martinez Lacuesta,2011,1117348,Rioja Reserva 2011,4.0,155,15.8,Rioja
Viña Bujanda,2011,1504857,Gran Reserva Rioja 2011,4.0,204,15.8,Rioja
Forlong,2018,8033009,Ánfora 2018,3.7,63,15.8,Cádiz
Finca Torremilanos,2016,1395689,Torremilanos  Crianza Ribera del Duero 2016,3.9,583,15.81,Ribera del Duero
Viñedos y Bodegas Muñoz,2015,1167405,Blas Muñoz Cepas Viejas 2015,4.0,61,15.85,Castilla
Silice Viticultores,2019,3075581,Tinto 2019,3.8,31,15.85,Ribeira Sacra
Berceo,2008,1141593,Gonzalo de Berceo Gran Reserva 2008,4.1,66,15.85,Rioja
Ramón Bilbao,2017,1596684,Rioja Viñedos de Altura 2017,4.0,733,15.85,Rioja
Áster,2016,1188776,Crianza 2016,4.0,381,15.85,Ribera del Duero
Venta Las Vacas,2020,1206468,Ribera del Duero 2020,4.1,81,15.87,Ribera del Duero
El Coto,2015,8623,Coto de Imaz Rioja Gran Reserva 2015,4.2,1563,15.88,Rioja
Viña Zorzal,2020,8308223,Nat Cool Graciano 2020,3.7,32,15.9,Navarra
De Nariz,2019,8732956,De Nariz Monastrell 2019,4.1,158,15.9,Yecla
Jeromin,2016,21169,Félix Martínez Cepas Viejas 2016,4.2,289,15.9,Madrid
Losada,2020,1176060,Altos de Losada 2020,4.3,47,15.9,Bierzo
Protos,2018,1135271,Crianza 2018,3.9,179,15.9,Ribera del Duero
Bodegas Aragonesas,2018,1205756,Aragonia Selección Especial Garnacha 2018,4.2,377,15.9,Campo de Borja
Castro Candaz,2018,3589724,Finca el Curvado 2018,3.9,208,15.9,Ribeira Sacra
Viñátigo,2020,1555968,Listán Negro 2020,3.8,87,15.9,Ycoden-Daute-Isora
Selección Lucendo,2020,1378549,El Linze Tinto Velasco - Syrah 2020,4.2,39,15.9,Castilla y León
Bodegas Cosme Palacio,2018,4215343,Cosme Palacio Crianza Viñedos en Altitud 2018,4.0,155,15.9,Rioja
Mengoba,2019,3200332,Mencía - Alicante Bouschet 2019,3.7,72,15.9,Bierzo
Callejo,2019,7664082,Parajes de Callejo 2019,4.2,254,15.9,Ribera del Duero
Altos de Rioja,2016,1837198,Altos R Reserva 2016,3.9,82,15.9,Rioja
Familia Torres,2017,5207088,Bellaterra 2017,3.5,75,15.9,Penedès
Bodegas y Viñedos Algil,2018,7632096,Crianza 2018,3.8,56,15.9,Toro
Pepe Mendoza Casa Agrícola,2020,9580877,Gironet + Nat 2020,3.9,81,15.9,Alicante
Finca La Capilla,2017,1710574,La Capilla Crianza 2017,4.1,229,15.9,Ribera del Duero
Adega Ponte da Boga,2019,2396074,Bancales Olvidados Mencía 2019,3.7,89,15.9,Ribeira Sacra
Sierra Cantabria,2014,77873,Reserva 2014,4.0,291,15.91,Rioja
Mas de Sella,2016,2388032,Tinto Vendimia Seleccionada 2016,4.0,29,15.95,Alicante
Suertes del Marqués,2020,7157038,Cool 2020,3.7,52,15.95,Valle de la Orotava
Viña Zorzal,2019,5441391,Cuatro del Cuatro 2019,4.0,99,15.95,Navarra
Vallvé & Guevara,2016,3164872,Princep 2016,4.0,27,15.95,Priorato
Boada,2012,1175862,Campo de Bueyes Reserva 2012,4.0,84,15.95,Ribera del Duero
Herència Altés,2017,7162689,La Pilosa Garnacha Peluda 2017,3.8,358,15.95,Terra Alta
Lan,2015,88835,Viña Lanciano Reserva 2015,4.2,643,15.95,Rioja
Mas de Subirà,2018,2570271,Criança 2018,3.9,156,15.95,Priorato
Vega Clara,2018,1233409,Mario Tempranillo - Cabernet Sauvignon 2018,4.2,122,15.95,Ribera del Duero
Altanza,2014,1228666,Familia Rioja 2014,4.0,97,15.95,Rioja
Ramón Bilbao,2017,1612897,Edición Limitada 2017,4.0,565,15.95,Rioja
Peñafiel,2017,1698222,Miros de Ribera Crianza 2017,4.1,799,15.95,Ribera del Duero
Legaris,2017,80084,Ribera del Duero Crianza 2017,3.9,925,15.95,Ribera del Duero
Alvarez Duran,2018,5196552,Dual 2018,4.3,37,15.97,Priorato
Viña Pomal,2016,3128992,Reserva 106 Barricas 2016,4.2,39,15.98,Rioja
Artadi,2016,2309741,Artazu Pasos de San Martín Garnacha 2016,4.0,279,15.99,Vino de España
