Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Bodegas Príncipe de Viana,2020,4611595,Colección Monovarietales Tempranillo Roble 2020,3.5,324,4.75,Navarra
Miedes,2020,76940,Crianza 2020,3.6,25,4.76,Calatayud
Ca N'Estruc,2021,1222462,Negre 2021,3.6,27,4.77,Cataluña
Marqués de Altillo,2020,1218269,Tinto 2020,3.2,28,4.78,Rioja
Viña Cumbrero,2017,4320358,Rioja Crianza 2017,3.4,104,4.79,Rioja
Borsao Bodegas,2020,1657138,Joven (Selección) 2020,3.3,43,4.85,Campo de Borja
Borsao Bodegas,2020,1657138,Joven (Selección) 2020,3.3,43,4.85,Campo de Borja
Dominio de Eguren,2016,9399,Códice 2016,3.2,268,4.85,Castilla y León
Bodegas Ochoa,2019,1787783,Calendas Tinto 2019,3.5,76,4.9,Navarra
Ayuso,2016,1138136,Estola Reserva 2016,3.6,572,4.9,La Mancha
Laus,2020,5465255,Tinto Joven 2020,3.4,125,4.9,Somontano
Castillo Perelada,2021,2352415,Empordà Jardins Negre 2021,3.3,36,4.94,Empordà
Hacienda Zorita Natural Reserve,2019,1590758,Crianza 2019,3.3,48,4.95,Castilla y León
Celler Cooperatiu d'Espolla,2019,1189721,Vinya Orlina Tinto 2019,3.1,27,4.95,Empordà
Enate,2019,1158423,Tapas Tempranillo 2019,3.5,145,4.95,Somontano
Castaño,2020,85749,Dominio Espinal Tinto 2020,3.3,29,4.95,Yecla
Félix Solís,2019,3993003,Casa Albali Gran Selección 2019,3.6,100,4.95,Valdepeñas
Arnegui,2018,1710204,Tempranillo Rioja 2018,3.6,266,4.95,Rioja
Atalaya,2021,1193347,Laya 2021,3.8,111,4.95,Almansa
Arnegui,2020,1710204,Tempranillo Rioja 2020,3.5,155,4.95,Rioja
La Purisima,2019,2283507,Monastrell 2019,3.5,153,4.95,Yecla
Estancia Piedra,2020,7052007,Cantadal Joven 2020,3.5,104,4.96,Toro
Carlos Serres,2021,1477639,Rioja Tempranillo 2021,3.6,55,4.99,Rioja
Finca Manzanos,2019,4188323,Garnacha 2019,3.6,63,4.99,Rioja
Félix Solís,N.V.,5445838,The Guv’nor N.V.,4.0,15210,4.99,Valdepeñas
Los Hermanos Manzanos,2018,2216555,Crianza 2018,3.8,65,4.99,Rioja
Freixenet,2020,1252649,Mia Tinto 2020,3.5,204,4.99,Castilla y León
Vall Sanzo,2014,6328303,Reserva 2014,3.9,82,4.95,Ribera del Duero
Nubori,2016,1884489,Crianza 2016,3.7,118,4.95,Rioja
Pata Negra,2017,7492547,Crianza Tempranillo 2017,3.5,721,4.95,Rioja
Pinord,2016,1363602,Penedés Merlot Diorama 2016,3.6,25,4.95,Penedès
Dominio de la Vega,2017,4057760,Paraje Tornel Bobal 2017,4.1,105,4.95,Utiel-Requena
Pata Negra,2017,7492547,Crianza Tempranillo 2017,3.5,721,4.95,Rioja
Vidauba,2016,1426186,Picot 'N Negre 2016,3.7,27,4.95,Plà i Llevant
Calabuig,2019,1200368,Bobal Old Vines 2019,3.3,46,2.8,Valencia
Barahonda,2014,1172227,Carro 2014,3.7,3756,4.576666666666667,Yecla
Bodegas Valdemar,2012,1206948,Valdemoreda Tempranillo 2012,3.2,267,4.75,Rioja
Condado Real,2015,1139314,Tempranillo 2015,3.6,258,3.63,Castilla y León
Obanca,2012,3764453,Castro de Limés 2012,3.7,38,4.95,Asturias
Orowines,2018,2034003,Comoloco Monastrell 2018,3.6,515,4.95,Jumilla
Domeco de Jarauta,2018,1197384,Lar de Sotomayor Rioja 2018,3.7,41,4.95,Rioja
Puente de Rus,2018,1705514,Tempranillo Crianza 2018,4.0,35,4.22,La Mancha
Gran Feudo,2015,12305,Crianza 2015,3.5,165,4.98,Navarra
Vizar,2020,4767369,Tempranillo 2020,3.5,112,3.96,Castilla y León
Hacienda Calavia,2017,1817467,Crianza 2017,4.0,78,4.94,Rioja
Bodegas Aradon,2017,1500052,Tinto 2017,3.7,107,4.95,Rioja
Bach,2018,1255221,Viña Extrísima Tinto 2018,3.4,241,2.98,Cataluña
Bodega Pirineos,2020,2696722,Montesierra Red Blend 2020,3.4,120,4.95,Somontano
Nuviana,2019,80092,Veranza Tinto 2019,3.2,99,4.95,Valle del Cinca
Altavins,2020,1241735,Almodí Petit Tinto 2020,3.7,39,4.9,Terra Alta
Bodegas Yuntero,2019,1394525,Tempranillo - Syrah 2019,3.5,26,4.95,La Mancha
Pinord,2015,1549673,Penedés Crianza Tempranillo Taanug 2015,2.7,39,4.95,Penedès
Luzon,2016,6007664,Colección Crianza 2016,3.9,135,4.95,Jumilla
Juan de Juanes,2019,1817000,Vendimia Plata Petit Verdot 2019,3.6,116,4.95,Valencia
Bruno Murciano,2016,1213431,La Malkerida Bobal 2016,3.4,123,4.95,Utiel-Requena
Montalvo Wilmot,2018,1987400,Syrah Roble 2018,3.7,43,4.95,Castilla
Bodegas Lagunilla,2016,1129460,Crianza 2016,3.3,445,4.95,Rioja
Bodegas Lixar,2010,2662946,Reserva 2010,3.4,27,4.5,Rioja
Vinos Sanz,2017,3907111,La Capital Roble 2017,3.5,71,4.95,Madrid
Ceremonia,2013,76604,Reserva Limited Edition 2013,3.4,44,4.95,Utiel-Requena
Bodegas del Muni,2018,1556204,Corpus del Muni Roble 2018,3.4,50,4.95,Castilla
Armas de Guerra,2016,2054577,Mencía 2016,3.5,503,4.95,Bierzo
Félix Solís,2017,1823360,Viña Albali Reserva 2017,3.5,408,4.1,Valdepeñas
Enate,2017,1158423,Tapas Tempranillo 2017,3.4,242,4.85,Somontano
Beso de Vino,2017,3316211,Syrah - Garnacha 2017,3.5,365,4.35,Cariñena
Sant Josep,2019,2659312,Clot d'Encis Vi Negre 2019,2.9,56,2.5,Terra Alta
Bodegas Franco-Españolas,2009,1100348,Rioja Bordón Crianza 2009,3.5,654,3.79,Rioja
Lar de Paula,2014,1290734,Crianza 2014,3.9,447,4.82,Rioja
Inurrieta,2016,1139506,Norte Roble 2016,3.8,234,4.95,Navarra
Bodegas Aragonesas,2018,1239615,Solo Syrah Tirio 2018,3.6,219,4.5,Campo de Borja
Borsao Bodegas,2014,1136710,Tinto (Selección / Garnacha) 2014,3.4,2483,4.0,Campo de Borja
Atalaya,2016,1193347,Laya 2016,3.5,2461,4.95,Almansa
Vinos Divertidos,2018,2625462,Ojo de Liebre 2018,3.4,28,4.95,Somontano
Faustino Rivero Ulecia,N.V.,2142966,Rioja Tempranillo N.V.,3.2,2282,3.75,Rioja
Dominio de Eguren,2020,1207654,Protocolo Tinto 2020,3.6,115,3.9,Castilla
Bodegas Faustino,2006,2027,Faustino de Autor Reserva Especial 2006,4.0,291,4.94,Rioja
Hacienda Albae,2018,5463135,Malbec 2018,3.6,34,4.95,La Mancha
Hermanos Lurton,2018,1178776,Tempranillo 2018,3.7,326,4.94,Toro
Mesta,2020,2469050,Tempranillo 2020,3.5,664,4.5,Uclés
El Angosto,2020,7493580,La Tribuna 2020,3.6,33,4.65,Valencia
Beronia,2017,20796,Rioja Crianza 2017,3.7,1793,4.94,Rioja
Borsao Bodegas,2020,1216711,Barrica (Selección) 2020,3.6,132,4.6,Campo de Borja
Neleman,2020,2743977,Organic Tempranillo - Monastrell 2020,3.6,703,4.7,Valencia
Finca La Estacada,2016,3123972,Hello World Petit Verdot 2016,3.4,399,4.95,Castilla
Juan Gil,2019,1134571,Jumilla Yellow Label 2019,3.8,1898,4.79,Jumilla
Borsao Bodegas,2019,1136710,Tinto (Selección / Garnacha) 2019,3.6,1308,3.68,Campo de Borja
Honoro Vera,2019,1196853,Garnacha 2019,3.8,2480,4.63,Calatayud
Venta Morales,2015,1126424,Tempranillo 2015,3.3,505,4.95,Castilla y León
Finca Collado,2016,3279759,Delit Plaer de Monastrell 2016,3.7,87,4.9,Valencia
La Veguilla,2019,1665435,Roble 2019,3.4,50,4.94,Ribera del Duero
Balmoral,2017,3750245,Maravides 12 Meses 2017,3.9,195,4.95,Castilla
Séptimo Sentido,2019,3780395,Tempranillo 2019,3.6,924,3.7,Castelló
Los Frailes,2013,1231340,Efe Monastrell 2013,3.3,153,3.7516666666666665,Valencia
Barahonda,2014,15709,Monastrell 2014,3.5,433,4.443333333333333,Yecla
Celler del Roure,2014,1297022,Setze Gallets 2014,3.4,272,4.655,Valencia
Juan Gil,2017,1612858,Pedrera Monastrell - Shiraz Jumilla 2017,3.5,48,4.036666666666667,Jumilla
Gramona,2013,2455926,Bru Infanterrible Pinot Noir 2013,3.5,30,4.94,Penedès
Martin Berdugo,2015,1158446,Barrica 2015,3.6,192,4.95,Ribera del Duero
Dominio de Tares,2009,3787127,P3 Mencía 2009,4.2,81,4.95,Bierzo
Empordàlia,2021,1217624,Sinols Negre 2021,3.6,38,4.99,Empordà
Sierra Cantabria,2014,1149692,Selección 2014,3.5,493,4.95,Rioja
El Miracle,2017,5563599,Art 2017,3.7,595,4.95,Alicante
Finca La Estacada,2016,3152199,6 Meses en Barrica 2016,3.6,33,4.95,Castilla
Bodegas Vallobera,2017,1205627,Crianza Rioja 2017,3.6,443,4.95,Rioja
Bodegas Olarra,2014,76308,Añares Rioja Reserva 2014,3.8,790,4.95,Rioja
