Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Sara Pérez y René Barbier,2015,1181080,Gratallops Partida Bellvisos 2015,4.4,27,58.32,Priorato
Bodegas Naluar & Acediano,2018,2298357,Acediano 2018,4.3,160,58.7,Ribera del Duero
Pinea,2019,6494042,17 2019,4.5,126,58.9,Ribera del Duero
Viña Sastre,2019,736588,Pago de Santa Cruz 2019,4.4,182,58.9,Ribera del Duero
Melonera,2015,4114213,Mankind Heritage Vines 2015,4.2,47,58.93,Sierras de Málaga
Muga,2015,1126125,Prado Enea Gran Reserva 2015,4.5,410,59.0,Rioja
Bodegas Mauro,2018,1163704,VS 2018,4.5,201,59.11,Castilla y León
Vinícola Real,2006,1223636,200 Monges Rioja Reserva Selección Especial 2006,4.5,43,59.25,Rioja
La Vicalanda,2010,1126222,Gran Reserva 2010,4.4,241,59.25,Rioja
Protos,2016,1132696,Reserva 5 Año 2016,4.0,312,59.75,Ribera del Duero
Habla,2014,5678539,No. 15 2014,4.2,398,59.75,Extremadura
Habla,2015,6433351,No. 19 2015,4.2,292,59.77,Extremadura
Protos,2018,1422758,Selección Finca el Grajo Viejo 2018,4.4,37,59.87,Ribera del Duero
Barahonda,2015,3666125,Zona Zepa Monastrell 2015,4.5,34,59.9,Yecla
Chozas Carrascal,2017,9064817,Materia Bobal 2017,4.5,33,59.9,Valencia
Museum,2012,3245715,Numerus Clausus 2012,4.5,45,59.9,Cigales
Clos Figueras,2018,1675541,Clos Figueres 2018,4.3,39,59.9,Priorato
Losada,2016,5744439,Altos de Losada La Senda del Diablo 2016,4.2,40,59.9,Bierzo
Arínzano,2008,2530402,La Casona 2008,3.9,337,59.99,Arínzano
Martinet,2017,1179387,Clos Martinet 2017,4.3,263,60.45,Priorato
Bodega Contador (Benjamín Romeo),2019,98835,La Cueva del Contador Rioja 2019,4.4,56,60.61,Rioja
Martinet,2018,1179387,Clos Martinet 2018,4.3,188,60.8,Priorato
Carmelo Rodero,2017,76292,Ribera del Duero TSM 2017,4.5,610,60.9,Ribera del Duero
VALENCISO,2012,5805371,Rioja Reserva 10 Años Después Edición Limitada 2012,4.4,128,60.95,Rioja
Imperial,2015,1135916,Rioja Gran Reserva 2015,4.4,721,61.0,Rioja
Ferrer Bobet,2016,2149967,Selecció Especial Vinyes Velles 2016,4.4,133,61.13,Priorato
Ferrer Bobet,2017,2149967,Selecció Especial Vinyes Velles 2017,4.4,103,61.13,Priorato
Quinta de la Quietud,2017,1213831,La Mula de la Quietud 2017,4.6,43,61.17,Toro
Terroir Al Límit Soc. Lda,2017,97709,Arbossar 2017,4.2,140,61.28,Priorato
Ramón Bilbao,2016,8083908,Lalomba Finca Ladero 2016,4.3,56,61.65,Rioja
Figuero,2015,1155272,Noble 2015,4.5,45,61.9,Ribera del Duero
Viña Pomal,2012,3199636,Vinos Singulares Graciano 2012,4.2,69,62.0,Rioja
Martinet,2016,1179387,Clos Martinet 2016,4.2,197,62.4,Priorato
Arizcuren,2018,7103005,Barranco del Prado 2018,4.4,28,62.9,Rioja
Abadía Retuerta,2017,73589,Pago Valdebellón 2017,4.4,68,63.0,Sardón de Duero
Abadía Retuerta,2015,73589,Pago Valdebellón 2015,4.3,604,63.0,Sardón de Duero
Ysios,2017,10194410,Finca El Nogal 2017,4.5,36,63.3,Rioja
Carmelo Rodero,2019,76292,Ribera del Duero TSM 2019,4.3,833,63.35,Ribera del Duero
Ramón Bilbao,2017,8550208,Lalomba Finca Valhonta 2017,4.4,91,63.5,Rioja
Vizcarra,2015,1450186,Celia 2015,4.3,38,63.5,Ribera del Duero
Familia Torres,2016,1184728,Perpetual 2016,4.3,571,63.5,Priorato
Abadía Retuerta,2016,73590,Pago Negralada 2016,4.4,248,63.95,Sardón de Duero
Juan Gil,2018,1713612,Jumilla Blue Label 2018,4.2,2430,64.05,Jumilla
Contino,2018,1126750,Viña del Olivo 2018,4.5,33,64.5,Rioja
Protos,2017,1422758,Selección Finca el Grajo Viejo 2017,4.4,86,64.6,Ribera del Duero
Casa Castillo,2017,6696954,Cuvée N Viñas Viejas 2017,4.2,39,64.66,Jumilla
Contino,2017,1126751,Rioja Graciano 2017,4.3,142,64.75,Rioja
Contino,2016,1126751,Rioja Graciano 2016,4.3,189,64.75,Rioja
Sangenís I Vaqué,1999,96874,Clos Monlleó 1999,4.3,49,64.8,Priorato
Arzuaga,2017,1270105,Amaya Arzuaga (Colección) 2017,4.3,48,64.9,Ribera del Duero
Ferrer Bobet,2018,2149967,Selecció Especial Vinyes Velles 2018,4.4,28,64.9,Priorato
Cruz de Alba,2016,4156976,Finca Los Hoyales Ribera del Duero 2016,4.3,31,64.95,Ribera del Duero
Cune (CVNE),2016,1200575,Gran Reserva 2016,4.0,704,64.95,Rioja
Arzuaga,2016,1270105,Amaya Arzuaga (Colección) 2016,4.6,157,64.95,Ribera del Duero
Pintia,2017,77172,Toro 2017,4.5,1168,65.0,Toro
Territorio Luthier,2016,4282272,Territorio Luthier Reserva 2016,4.5,160,65.0,Ribera del Duero
Benjamin de Rothschild - Vega Sicilia,2016,1994112,Macán 2016,4.5,1230,65.1,Rioja
Viña Sastre,2012,736555,Regina Vides Ribera del Duero 2012,4.4,155,65.34,Ribera del Duero
Hacienda Solano,2016,2268305,Finca Cascorrales 2016,4.5,61,65.9,Ribera del Duero
Artadi,2016,5805414,Quintanilla 2016,4.3,35,65.9,Vino de España
Familia Torres,2018,3933104,Purgatori Costers del Segre 2018,4.3,367,66.03,Costers del Segre
Familia Torres,2017,1184728,Perpetual 2017,4.4,231,66.05,Priorato
Contino,2017,1126750,Viña del Olivo 2017,4.5,252,66.5,Rioja
Bodegas Javier San Pedro Ortega,2017,5943962,Viuda Negra La Taconera 2017,4.2,33,66.55,Rioja
Cuevas de Arom,2017,6751980,Tuca Negra 2017,4.0,45,66.56,Campo de Borja
Artuke,2019,3872268,La Condenada Rioja 2019,4.3,25,66.59,Rioja
Bodegas Mauro,2017,96926,Red 2017,4.3,3711,66.75,Castilla y León
Coca i Fitó,2013,2132510,Tocat i Posat Negre 2013,4.1,89,67.0,Empordà
Viña Pomal,2016,1503752,Alto de la Caseta 2016,4.5,34,67.16,Rioja
Abadía Retuerta,2016,73591,Pago Garduña 2016,4.5,222,67.54,Castilla y León
Bodegas Mas Alta,2017,2031641,La Basseta 2017,4.5,103,67.6,Priorato
Abadía Retuerta,2016,73589,Pago Valdebellón 2016,4.4,82,67.75,Sardón de Duero
Abadía Retuerta,2015,73590,Pago Negralada 2015,4.3,505,67.82,Sardón de Duero
Bodega Contador (Benjamín Romeo),2016,98835,La Cueva del Contador Rioja 2016,4.4,283,67.9,Rioja
Bodega Contador (Benjamín Romeo),2018,98835,La Cueva del Contador Rioja 2018,4.4,113,67.9,Rioja
Casa Castillo,2019,77247,Pie Franco 2019,4.3,58,67.91,Jumilla
Altos del Enebro,2014,5095219,Finca La Herradura 2014,4.3,49,68.0,Ribera del Duero
Bodega Contador (Benjamín Romeo),2015,98835,La Cueva del Contador Rioja 2015,4.4,409,68.0,Rioja
Bodegas Mas Alta,2018,2031641,La Basseta 2018,4.3,25,68.45,Priorato
Merum Priorati,2017,3807612,Destí 2017,4.2,245,68.5,Priorato
Viña Sastre,2018,736588,Pago de Santa Cruz 2018,4.6,250,68.7,Ribera del Duero
Bodegas Amaren,2012,86874,Graciano 2012,4.3,27,69.0,Rioja
Dominio de Calogía,2019,9954550,Tinto 2019,4.5,232,69.0,Ribera del Duero
Familia Torres,2017,3933104,Purgatori Costers del Segre 2017,4.2,966,69.1,Costers del Segre
Viñas del Vero,2015,1215527,Blecua Somontano 2015,4.7,30,69.9,Somontano
Carmelo Rodero,2016,1721127,Reserva 2016,4.4,462,69.9,Ribera del Duero
Pintia,2016,77172,Toro 2016,4.5,4131,69.9,Toro
Bodegas Mauro,2017,1163704,VS 2017,4.5,356,69.9,Castilla y León
Viña Sastre,2018,736555,Regina Vides Ribera del Duero 2018,4.4,99,69.95,Ribera del Duero
Martinez Lacuesta,1964,1855630,Rioja Reserva Especial 1964,3.9,25,70.0,Rioja Alta
Viña Sastre,2016,736555,Regina Vides Ribera del Duero 2016,4.5,157,70.55,Ribera del Duero
Tinto Pesquera,2016,19481,Reserva 2016,4.3,1299,70.88,Ribera del Duero
Benjamin de Rothschild - Vega Sicilia,2017,1994112,Macán 2017,4.5,148,70.9,Rioja
Bodega Contador (Benjamín Romeo),2017,98835,La Cueva del Contador Rioja 2017,4.5,201,71.15,Rioja
Contino,2015,1126751,Rioja Graciano 2015,4.3,232,71.55,Rioja
Viña Sastre,2016,3880023,Pago de Santa Cruz Gran Reserva Ribera del Duero 2016,4.4,71,71.95,Ribera del Duero
Valdevinas,2005,1886249,Mirat Gran Reserva 2005,4.2,62,72.0,Ribera del Duero
Bodegas Naluar & Acediano,2016,2298357,Acediano 2016,4.4,110,72.0,Ribera del Duero
Viñas del Vero,2013,1215527,Blecua Somontano 2013,4.6,147,72.0,Somontano
Aalto,2020,1129282,PS (Pagos Seleccionados) Ribera del Duero 2020,4.5,64,72.2,Ribera del Duero
Familia Torres,2017,1161798,Mas La Plana Cabernet Sauvignon 2017,4.3,493,72.67,Penedès
Cruz de Alba,2015,4156976,Finca Los Hoyales Ribera del Duero 2015,4.5,184,72.75,Ribera del Duero
Muga,2016,7494,Torre Muga 2016,4.5,1048,72.85,Rioja
Abadía Retuerta,2017,73591,Pago Garduña 2017,4.3,67,72.9,Castilla y León
Marqués de Riscal,2016,2026372,Barón de Chirel Rioja Reserva 2016,4.5,269,73.19,Rioja
Callejo,2016,14882,Félix Callejo (Viñedos de la Familia) 2016,4.4,27,73.9,Ribera del Duero
Real de Asúa,2011,1869193,Tinto 2011,4.2,63,74.41,Rioja
Hacienda Solano,2016,5853350,Peña Lobera 2016,4.6,58,74.5,Ribera del Duero
El Regajal,2017,7226014,Galia Clos Santuy 2017,4.3,29,74.9,Castilla y León
Marqués de Riscal,2017,2026372,Barón de Chirel Rioja Reserva 2017,4.4,173,74.95,Rioja
Ysios,2018,7277096,Grano a Grano 2018,4.3,40,75.0,Rioja
Laventura,2015,6229961,Barranco del San Ginés 2015,4.1,38,75.0,Rioja
Abadía Retuerta,2015,73591,Pago Garduña 2015,4.3,322,75.0,Castilla y León
Señorío de San Vicente,1995,1173140,San Vicente Rioja 1995,4.5,32,75.0,Rioja
Cepa 21,2016,6449504,Horcajo 2016,4.6,58,75.3,Ribera del Duero
Martinet,2018,1219509,Camí Pesseroles 2018,4.4,27,75.5,Priorato
Martinet,2019,1228656,Els Escurçons 2019,4.4,32,75.5,Priorato
Cepa 21,2015,6449504,Horcajo 2015,4.6,114,75.65,Ribera del Duero
Carlos Moro,2015,6860503,Viña Garugele 2015,4.3,37,75.8,Rioja
Pintia,2015,77172,Toro 2015,4.5,5320,75.8,Toro
Telmo Rodriguez,2017,5985381,La Estrada Tinto 2017,4.3,31,75.9,Rioja
Hacienda Monasterio,2014,875,Cosecha 2014,4.3,3033,75.9,Ribera del Duero
