Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Freixenet,2020,1583328,Mia Blanco 2020,3.6,218,4.99,Penedès
El Angosto,2021,4523122,Soldadito Marinero 2021,4.0,57,5.0,Valencia
Vinos Sanz,2021,1156203,Clásico 2021,3.5,43,5.03,Rueda
Marina Alta,2021,1898035,Gran Selección Blanco 2021,3.9,477,5.09,Alicante
Bodegas Aragonesas,2020,1194945,Coto de Hayas Chardonnay 2020,3.2,50,5.11,Campo de Borja
Oliveda,2021,1770248,Món Perdut Blanc 2021,3.6,30,5.17,Empordà
Bodegas Valdemar,2021,15491,Conde de Valdemar Blanco 2021,3.7,37,5.18,Rioja
Luzon,2021,6088347,Colección Blanco 2021,3.8,38,5.2,Jumilla
Marqués de Riscal,2020,2036125,Viña Calera Verdejo 2020,3.6,65,5.25,Rueda
Baron de Ley,2021,21582,Blanco 2021,3.7,28,5.26,Rioja
Baron de Ley,2018,21582,Blanco 2018,3.6,213,5.27,Rioja
Marqués de Cáceres,2021,10257,Rioja Satinela Blanco Semidulce 2021,4.0,96,5.3,Rioja
Bodega Sommos,2020,9742497,Chardonnay Roble 2020,3.7,199,5.3,Somontano
Oliver Conti,2021,6362020,Indispensable Blanc 2021,3.8,90,5.3,Empordà
Hacienda López de Haro,2020,3415961,Blanco 2020,3.6,87,5.31,Rioja
Marqués de la Concordia,2016,4044066,MM Blanc de Blancs 2016,3.3,66,5.38,Cataluña
Marqués de Cáceres,2021,1144872,Rioja Blanco 2021,3.6,335,5.4,Rioja
Marqués de Cáceres,2020,1144872,Rioja Blanco 2020,3.7,934,5.4,Rioja
Naia,2021,1160155,K-Naia 2021,3.8,346,5.4,Rueda
Camino del Puerto,2020,5502991,Verdejo 2020,3.8,29,5.4,Rueda
Venta La Vega - Bodegas Almanseñas,2021,7377040,Adaras Lluvia 2021,4.0,47,5.4,Castilla
Analivia,2020,1854349,Blanco 2020,3.6,29,5.45,Rueda
Cune (CVNE),2021,1486705,Verdejo 2021,3.6,350,5.45,Rueda
Diez Siglos,2021,2007721,Nékora Verdejo 2021,3.7,55,5.45,Rueda
Cyatho,2021,1360564,Rueda Verdejo 2021,3.5,97,5.45,Rueda
Segura Viudas,2019,2024307,Xarel-lo 2019,2.9,29,5.45,Penedès
Familia Torres,2021,7398374,Viña Sol Original 2021,3.5,1147,5.49,Penedès
Bodegas La Soterraña,2019,2477824,Etcétera Seco Blanco 2019,3.4,100,5.49,Rueda
Valdecuevas,2021,2657687,Flor Innata Verdejo 2021,3.8,50,5.5,Rueda
Félix Solís,N.V.,5722875,Mucho Más Blanco N.V.,4.0,9352,5.5,Castilla
Marqués de Cáceres,2021,2405791,Rueda Verdejo 2021,3.7,572,5.5,Rueda
Sumarroca,2021,9366161,Nostrat Blanc de Blancs 2021,3.6,102,5.5,Penedès
Bodegas Paco Mulero,2020,7108581,Prisma Verdejo 2020,3.8,48,5.5,Rueda
Equilibrio,2021,7409287,Sauvignon Blanc 2021,3.8,27,5.55,Jumilla
Laus,2020,5296693,Blanco 2020,3.6,56,5.55,Somontano
Cune (CVNE),2020,1486705,Verdejo 2020,3.5,775,5.55,Rueda
Cune (CVNE),2019,1486705,Verdejo 2019,3.5,1288,5.55,Rueda
Alcorta,2018,6622012,Atrevido Verdejo 2018,3.5,39,5.55,Rueda
Izadi,2019,7536768,Larrosa Blanc 2019,3.7,79,5.56,Rioja
Finca Antigua,2020,1553515,Viura 2020,3.7,39,5.6,La Mancha
Adernats,2020,9866517,Parabòlic Blanc 2020,2.9,27,5.6,Tarragona
Joan Sardà,2021,1537006,Blanc Mariner 2021,3.6,154,5.6,Penedès
Reforjat,2020,9001184,Garnatxa Blanca - Macabeu 2020,3.4,28,5.64,Terra Alta
Antonio Montero,2021,2528870,Colleita 2021,3.6,79,5.65,Ribeiro
Cercavins,2018,5259974,Lo Virol Blanc 2018,3.5,38,5.65,Costers del Segre
Lan,2021,1244860,Duquesa De Valladolid Verdejo Rueda 2021,3.7,97,5.65,Rueda
Viña Zorzal,2020,2258546,Chardonnay 2020,3.6,133,5.67,Navarra
El Casetero,2019,5498431,Macabeo Campo de Borja 2019,3.7,71,5.7,Campo de Borja
Pinna Fidelis,2020,2023367,Rueda Verdejo 2020,3.5,32,5.7,Rueda
Ederra,2021,3610608,Verdejo Rueda 2021,3.6,50,5.75,Rueda
Analivia,2021,1189246,Verdejo Selección 2021,3.8,143,5.75,Rueda
Garriguella,2021,2101032,Puntils Blanc 2021,3.7,30,5.75,Empordà
Albariza,2018,6425827,Palomino Fino 2018,2.8,55,5.8,Andalucía
Bodegas Valdemar,2020,15491,Conde de Valdemar Blanco 2020,3.7,129,5.8,Rioja
Celler de Capçanes,2020,1764424,Mas Donis Blanc 2020,3.5,56,5.8,Montsant
Bodegas Valdemar,2019,15491,Conde de Valdemar Blanco 2019,3.8,112,5.8,Rioja
Celler de Capçanes,2019,1764424,Mas Donis Blanc 2019,3.7,85,5.8,Montsant
Codorníu,2020,8528087,Impulso Semidulce 2020,3.9,28,5.8,Rioja
Albariza,2019,6425827,Palomino Fino 2019,3.1,56,5.8,Andalucía
Protos,2021,1135415,Verdejo 2021,3.8,842,5.81,Rueda
Viña Salceda,2021,7301635,Verdejo 2021,3.8,323,5.85,Rueda
Baluarte,2021,1469886,Verdejo 2021,3.9,66,5.85,Rueda
Juan Gil,2021,1511771,Moscatel Seco 2021,3.7,29,5.85,Jumilla
Baluarte,2020,1469886,Verdejo 2020,3.8,53,5.85,Rueda
De Moya,2020,4298742,Tibó Blanco 2020,3.8,65,5.85,Valencia
Monopole,2021,1300520,Siglo XXI Verdejo 2021,3.6,56,5.85,Rueda
