Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Mas d'en Perí,2019,6817110,M'ho ha dit un Ocellet 2019,3.9,54,20.0,Priorato
Bodega Sommos,2017,7756324,Colección Tempranillo 2017,4.1,109,20.0,Somontano
Cal Pla,2016,1164643,Priorat 2016,4.0,489,20.0,Priorato
Vinyes del Terrer,2015,1203552,Nus del Terrer 2015,4.0,78,20.0,Tarragona
Les Cousins Marc & Adrià,2016,1203045,L'Inconscient 2016,3.7,885,20.07,Priorato
Teso La Monja,2015,1115654,Almiréz 2015,3.9,1702,20.09,Toro
Vinyes Domenech,2018,7006307,Empelts de Garnatxa Peluda 2018,4.1,63,20.09,Montsant
Teso La Monja,2016,1115654,Almiréz 2016,4.0,1428,20.09,Toro
Teso La Monja,2017,1115654,Almiréz 2017,4.0,1239,20.09,Toro
Bodegas Valdemar,2015,7711883,Las Seis Alhajas Graciano 2015,4.1,35,20.15,Rioja
Ferratus,2012,1564269,Ferratus Sensaciones 2012,3.9,62,20.2,Ribera del Duero
Sierra Cantabria,2011,77874,Gran Reserva 2011,4.1,154,20.21,Rioja
Lagravera,2013,9309559,Cíclic Negre 2013,4.2,26,20.23,Costers del Segre
Baron de Ley,2012,21585,Rioja Gran Reserva 2012,4.1,4922,20.25,Rioja
Comunica,2016,4123388,Vinya Goretti 2016,4.0,46,20.25,Montsant
Comunica,2017,3869521,La Peluda 2017,3.6,32,20.25,Montsant
Martinet,2020,1172025,Martinet Bru (Garnatxa - Syrah) 2020,4.1,290,20.25,Priorato
Tarsus,2015,50784,Ribera del Duero Reserva 2015,3.9,206,20.26,Ribera del Duero
Anayón,2017,2418444,Cariñena 2017,3.9,25,20.3,Cariñena
Viña Zorzal,2019,2481271,Señora de las Alturas 2019,3.9,117,20.3,Navarra
Ramón Bilbao,2017,9006375,Límite Sur Garnacha 2017,3.9,273,20.34,Rioja
Bodegas Fulcro,2018,6688919,Aliaxe Furtivo 2018,3.5,37,20.35,Rías Baixas
Melonera,2018,1306468,Payoya Negra 2018,4.0,237,20.39,Sierras de Málaga
Beronia,2014,1233459,Rioja Gran Reserva 2014,3.9,155,20.45,Rioja
Bernavi,2011,2036050,MMXI 2011,4.0,76,20.5,Terra Alta
Beronia,2013,1233459,Rioja Gran Reserva 2013,4.2,1013,20.5,Rioja
Huerta de Albala,2016,1733516,Taberner Tierra de Cádiz 2016,4.2,504,20.5,Cádiz
De Moya,2017,4369993,Sofia 2017,4.3,95,20.5,Valencia
Casar de Burbia,2013,2448869,Tebaida Nemesio Mencía 2013,4.0,68,20.5,Bierzo
4 Monos,2019,6880759,Cien Lanzas Cenicientos 2019,3.9,55,20.5,Madrid
Marques de Vargas,2016,1138894,Reserva 2016,4.1,352,20.5,Rioja
Tresmano - Tr3smano,2019,7238072,Proventus 2019,3.9,112,20.5,Ribera del Duero
Tamaral,2016,1219110,Ribera del Duero Reserva 2016,3.8,152,20.5,Ribera del Duero
4 Monos,2018,7334500,Aguja Del Fraile 2018,3.9,57,20.55,Madrid
Albamar,2018,2595942,O Esteiro Tinto 2018,3.7,59,20.55,Rías Baixas
Martí Fabra,2019,1100210,Masia Carreras Negre 2019,4.3,120,20.59,Empordà
Clos Figueras,2020,97685,Serras del Priorat 2020,3.9,103,20.6,Priorato
Emilio Moro,2018,6304704,Vendimia Seleccionada 2018,4.2,384,20.61,Ribera del Duero
Remelluri,2014,89013,Rioja Reserva 2014,4.2,1046,20.61,Rioja
Viña Salceda,2016,2076441,Rioja Reserva Conde De La Salceda 2016,4.1,280,20.65,Rioja
El Grillo y La Luna,2019,5023424,Hop Hop 2019,4.1,27,20.67,Somontano
Arrayán,2015,1899105,Garnacha de Arrayán 2015,3.7,91,20.7,Castilla y León
Albamar,2017,2595942,O Esteiro Tinto 2017,3.7,195,20.7,Rías Baixas
Fedellos do Couto,2018,9078520,Os Bidueiros 2018,3.9,27,20.7,Galicia
Pago de Los Capellanes,2019,16226,Crianza Tinto 2019,4.3,2085,20.71,Ribera del Duero
Viñedos del Jorco,2018,6855362,El Jorco Cebreros 2018,4.0,41,20.74,Castilla y León
Bodegas Tionio,2017,1197229,Tinto (Crianza) 2017,3.7,92,20.75,Ribera del Duero
La Vicalanda,2016,1126221,Reserva 2016,4.1,160,20.75,Rioja
Olivardots,2015,1406998,Gresa Expressió 2015,4.2,25,20.75,Empordà
Orben,2019,77816,Orben 2019,4.0,67,20.81,Rioja
Proyecto Garnachas de España,2017,5296470,La Garnacha Perdida 2017,4.0,816,20.89,Aragón
Vega Real,2016,5943971,Vaccayos Cepas Viejas 2016,4.1,27,20.9,Ribera del Duero
Pagos del Moncayo,2018,5445839,Prados Privé 2018,4.2,88,20.9,Campo de Borja
Baron de Ley,2015,1909654,Siete (7) Viñas Reserva Rioja 2015,4.0,67,20.9,Rioja
Bodegas Olarra,2014,2059635,Erudito Rioja Reserva Especial 2014,3.9,160,20.9,Rioja
Bodegas Faustino,2016,5766586,Reserva Especial Icon Edition 2016,4.1,93,20.9,Rioja
El Regajal,2017,8958254,Le Petit Galia 2017,4.0,40,20.9,Castilla y León
Viña Pedrosa,2019,1138658,Crianza Ribera del Duero 2019,4.0,177,20.9,Ribera del Duero
Enate,2016,1383843,Merlot 2016,4.1,100,20.9,Somontano
Jean Leon,2017,1572777,Vinya Le Havre Reserva Cabernet Sauvignon 2017,4.1,54,20.9,Penedès
Marta Mate,2019,2989414,Tinto 2019,4.0,34,20.9,Ribera del Duero
Bodegas El Sequé,2020,6739432,El Sequé 2020,4.2,157,20.9,Alicante
Bodega Contador (Benjamín Romeo),2019,98836,Predicador Rioja 2019,4.2,519,20.9,Rioja
Rodríguez Sanzo,2019,7012562,Whisba Tempranillo Aged 18 Months in Whisky Barrels 2019,4.4,685,20.9,Toro
Cérvoles,2018,1127025,Colors Tinto 2018,3.8,287,20.95,Costers del Segre
Viña Ane,2016,4546978,Selección 2016,4.2,50,20.95,Rioja
Arnaiz,2010,2860313,Ribera del Duero Gran Reserva 2010,4.3,55,20.95,Ribera del Duero
Orto Vins,2016,1208363,Orto Tinto 2016,3.7,167,20.95,Montsant
Tobelos,2013,1394173,Tahon de Tobelos Reserva 2013,4.1,169,20.95,Rioja
Familia Torres,2018,2656,Salmos 2018,4.2,80,20.99,Priorato
Bodega Numanthia,2018,1167280,Termes 2018,4.0,432,20.99,Toro
Viñedos Hermanos Hernáiz,2019,6247632,Las Cenizas Tempranillo 2019,4.0,32,21.0,Rioja Alta
Marques de Vitoria,2015,3491,Rioja Gran Reserva 2015,3.7,41,21.01,Rioja
